start_station_name,date,num_trips
Harry Bridges Plaza (Ferry Building),2/16/2016,65
Harry Bridges Plaza (Ferry Building),4/19/2016,64
Harry Bridges Plaza (Ferry Building),7/24/2016,16
Harry Bridges Plaza (Ferry Building),8/24/2016,73
Harry Bridges Plaza (Ferry Building),11/6/2013,50
Harry Bridges Plaza (Ferry Building),11/10/2013,51
Harry Bridges Plaza (Ferry Building),2/4/2014,47
Harry Bridges Plaza (Ferry Building),6/17/2014,52
Harry Bridges Plaza (Ferry Building),3/28/2015,49
Harry Bridges Plaza (Ferry Building),1/17/2015,33
Harry Bridges Plaza (Ferry Building),11/1/2014,31
Harry Bridges Plaza (Ferry Building),9/16/2014,68
Harry Bridges Plaza (Ferry Building),9/4/2015,51
Harry Bridges Plaza (Ferry Building),12/19/2015,22
Harry Bridges Plaza (Ferry Building),5/22/2016,23
Harry Bridges Plaza (Ferry Building),9/15/2013,35
Harry Bridges Plaza (Ferry Building),10/8/2013,58
Harry Bridges Plaza (Ferry Building),8/27/2014,67
Harry Bridges Plaza (Ferry Building),7/20/2014,41
Harry Bridges Plaza (Ferry Building),4/18/2015,46
Harry Bridges Plaza (Ferry Building),11/7/2015,32
Harry Bridges Plaza (Ferry Building),2/14/2016,43
Harry Bridges Plaza (Ferry Building),4/24/2016,19
Harry Bridges Plaza (Ferry Building),7/17/2016,22
Harry Bridges Plaza (Ferry Building),2/18/2014,47
Harry Bridges Plaza (Ferry Building),2/22/2014,47
Harry Bridges Plaza (Ferry Building),4/14/2014,43
Harry Bridges Plaza (Ferry Building),2/15/2015,21
Harry Bridges Plaza (Ferry Building),1/4/2015,15
Harry Bridges Plaza (Ferry Building),10/4/2014,39
Harry Bridges Plaza (Ferry Building),3/21/2016,53
Harry Bridges Plaza (Ferry Building),5/16/2016,69
Harry Bridges Plaza (Ferry Building),5/28/2016,32
Harry Bridges Plaza (Ferry Building),8/22/2016,47
Harry Bridges Plaza (Ferry Building),9/20/2013,75
Harry Bridges Plaza (Ferry Building),10/6/2013,44
Harry Bridges Plaza (Ferry Building),8/30/2014,65
Harry Bridges Plaza (Ferry Building),7/22/2014,59
Harry Bridges Plaza (Ferry Building),7/12/2015,36
Harry Bridges Plaza (Ferry Building),5/27/2015,54
Harry Bridges Plaza (Ferry Building),2/23/2015,48
Harry Bridges Plaza (Ferry Building),8/19/2016,56
Harry Bridges Plaza (Ferry Building),8/25/2016,54
Harry Bridges Plaza (Ferry Building),9/2/2013,81
Harry Bridges Plaza (Ferry Building),10/3/2013,49
Harry Bridges Plaza (Ferry Building),10/10/2013,48
Harry Bridges Plaza (Ferry Building),11/13/2013,33
Harry Bridges Plaza (Ferry Building),12/19/2013,51
Harry Bridges Plaza (Ferry Building),5/5/2014,55
Harry Bridges Plaza (Ferry Building),4/29/2014,60
Harry Bridges Plaza (Ferry Building),6/13/2015,39
Harry Bridges Plaza (Ferry Building),5/29/2015,63
Harry Bridges Plaza (Ferry Building),1/11/2015,24
Harry Bridges Plaza (Ferry Building),11/12/2014,42
Harry Bridges Plaza (Ferry Building),3/19/2016,24
Harry Bridges Plaza (Ferry Building),6/2/2016,70
Harry Bridges Plaza (Ferry Building),8/1/2016,66
Harry Bridges Plaza (Ferry Building),6/24/2014,59
Harry Bridges Plaza (Ferry Building),5/2/2014,40
Harry Bridges Plaza (Ferry Building),4/10/2014,47
Harry Bridges Plaza (Ferry Building),3/15/2014,43
Harry Bridges Plaza (Ferry Building),3/9/2014,75
Harry Bridges Plaza (Ferry Building),7/8/2015,77
Harry Bridges Plaza (Ferry Building),6/24/2015,61
Harry Bridges Plaza (Ferry Building),3/23/2015,62
Harry Bridges Plaza (Ferry Building),12/7/2014,12
Harry Bridges Plaza (Ferry Building),3/24/2016,55
Harry Bridges Plaza (Ferry Building),6/26/2016,22
Harry Bridges Plaza (Ferry Building),10/4/2013,52
Harry Bridges Plaza (Ferry Building),8/10/2014,27
Harry Bridges Plaza (Ferry Building),8/6/2014,48
Harry Bridges Plaza (Ferry Building),6/28/2014,41
Harry Bridges Plaza (Ferry Building),3/3/2014,35
Harry Bridges Plaza (Ferry Building),8/1/2015,33
Harry Bridges Plaza (Ferry Building),10/1/2014,60
Harry Bridges Plaza (Ferry Building),1/4/2016,33
Harry Bridges Plaza (Ferry Building),4/12/2016,51
Harry Bridges Plaza (Ferry Building),7/23/2016,32
Harry Bridges Plaza (Ferry Building),12/22/2013,26
Harry Bridges Plaza (Ferry Building),1/15/2014,40
Harry Bridges Plaza (Ferry Building),3/11/2014,54
Harry Bridges Plaza (Ferry Building),4/10/2015,57
Harry Bridges Plaza (Ferry Building),9/24/2015,68
Harry Bridges Plaza (Ferry Building),10/7/2015,67
Harry Bridges Plaza (Ferry Building),1/7/2016,54
Harry Bridges Plaza (Ferry Building),9/21/2013,23
Harry Bridges Plaza (Ferry Building),10/25/2013,50
Harry Bridges Plaza (Ferry Building),11/17/2013,26
Harry Bridges Plaza (Ferry Building),11/26/2013,41
Harry Bridges Plaza (Ferry Building),2/13/2014,39
Harry Bridges Plaza (Ferry Building),6/30/2014,57
Harry Bridges Plaza (Ferry Building),5/29/2014,57
Harry Bridges Plaza (Ferry Building),8/19/2015,59
Harry Bridges Plaza (Ferry Building),7/26/2015,31
Harry Bridges Plaza (Ferry Building),4/25/2015,30
Harry Bridges Plaza (Ferry Building),3/13/2015,68
Harry Bridges Plaza (Ferry Building),10/3/2014,38
Harry Bridges Plaza (Ferry Building),9/28/2015,63
